day,sec,event,value
0,62504,charging,0
0,63105,measurement,
0,63105,battery,0.00
0,63105,charging,0
0,63706,measurement,
0,63706,battery,0.00
0,63706,charging,0
0,64307,measurement,
0,64307,battery,0.00
0,64307,charging,0
0,64908,measurement,
0,64908,battery,0.00
0,64908,charging,0
0,65509,measurement,
0,65509,battery,0.00
0,65509,charging,0
0,66110,measurement,
0,66110,battery,0.00
0,66110,charging,0
0,66711,measurement,
0,66711,battery,0.00
0,66711,charging,0
0,67312,measurement,
0,67312,battery,0.00
0,67312,charging,0
0,67913,measurement,
0,67913,battery,0.00
0,67913,charging,0
0,68514,measurement,
0,68514,battery,0.00
0,68514,charging,0
0,69115,measurement,
0,69115,battery,0.00
0,69115,charging,0
0,69716,measurement,
0,69716,battery,0.00
0,69716,charging,0
0,70317,measurement,
0,70317,battery,0.00
0,70317,charging,0
0,70918,measurement,
0,70918,battery,0.00
0,70918,charging,0
0,71519,measurement,
0,71519,battery,0.00
0,71519,charging,0
0,72120,measurement,
0,72120,battery,0.00
0,72120,charging,0
0,72721,measurement,
0,72721,battery,0.00
0,72721,charging,0
0,73322,measurement,
0,73322,battery,0.00
0,73322,charging,0
0,73923,measurement,
0,73923,battery,0.00
0,73923,charging,0
0,74524,measurement,
0,74524,battery,0.00
0,74524,charging,0
0,75125,measurement,
0,75125,battery,0.00
0,75125,charging,0
0,75726,measurement,
0,75726,battery,0.00
0,75726,charging,0
0,76327,measurement,
0,76327,battery,0.00
0,76327,charging,0
0,76928,measurement,
0,76928,battery,0.00
0,76928,charging,0
0,77529,measurement,
0,77529,battery,0.00
0,77529,charging,0
0,78130,measurement,
0,78130,battery,0.00
0,78130,charging,0
0,78731,measurement,
0,78731,battery,0.00
0,78731,charging,0
0,79332,measurement,
0,79332,battery,0.00
0,79332,charging,0
0,79933,measurement,
0,79933,battery,0.00
0,79933,charging,0
0,80534,measurement,
0,80534,battery,0.00
0,80534,charging,0
0,81135,measurement,
0,81135,battery,0.00
0,81135,charging,0
0,81736,measurement,
0,81736,battery,0.00
0,81736,charging,0
0,82337,measurement,
0,82337,battery,0.00
0,82337,charging,0
0,82938,measurement,
0,82938,battery,0.00
0,82938,charging,0
0,83539,measurement,
0,83539,battery,0.00
0,83539,charging,0
0,84140,measurement,
0,84140,battery,0.00
0,84140,charging,0
0,84741,measurement,
0,84741,battery,0.00
0,84741,charging,0
0,85342,measurement,
0,85342,battery,0.00
0,85342,charging,0
0,85943,measurement,
0,85943,battery,0.00
0,85943,charging,0
1,0,measurement,
1,0,battery,0.00
1,0,charging,0
1,601,measurement,
1,601,battery,0.00
1,601,charging,0
1,1202,measurement,
1,1202,battery,0.00
1,1202,charging,0
1,1803,measurement,
1,1803,battery,0.00
1,1803,charging,0
1,2404,measurement,
1,2404,battery,0.00
1,2404,charging,0
1,3005,measurement,
1,3005,battery,0.00
1,3005,charging,0
1,3606,measurement,
1,3606,battery,0.00
1,3606,charging,0
1,4207,measurement,
1,4207,battery,0.00
1,4207,charging,0
1,4808,measurement,
1,4808,battery,0.00
1,4808,charging,0
1,5409,measurement,
1,5409,battery,0.00
1,5409,charging,0
1,6010,measurement,
1,6010,battery,0.00
1,6010,charging,0
1,6611,measurement,
1,6611,battery,0.00
1,6611,charging,0
1,7212,measurement,
1,7212,battery,0.00
1,7212,charging,0
1,7813,measurement,
1,7813,battery,0.00
1,7813,charging,0
1,8414,measurement,
1,8414,battery,0.00
1,8414,charging,0
1,9015,measurement,
1,9015,battery,0.00
1,9015,charging,0
1,9616,measurement,
1,9616,battery,0.00
1,9616,charging,0
1,10217,measurement,
1,10217,battery,0.00
1,10217,charging,0
1,10818,measurement,
1,10818,battery,0.00
1,10818,charging,0
1,11419,measurement,
1,11419,battery,0.00
1,11419,charging,0
1,12020,measurement,
1,12020,battery,0.00
1,12020,charging,0
1,12621,measurement,
1,12621,battery,0.00
1,12621,charging,0
1,13222,measurement,
1,13222,battery,0.00
1,13222,charging,0
1,13823,measurement,
1,13823,battery,0.00
1,13823,charging,0
1,14424,measurement,
1,14424,battery,0.00
1,14424,charging,0
1,15025,measurement,
1,15025,battery,0.00
1,15025,charging,0
1,15626,measurement,
1,15626,battery,0.00
1,15626,charging,0
1,16227,measurement,
1,16227,battery,0.00
1,16227,charging,0
1,16828,measurement,
1,16828,battery,0.00
1,16828,charging,0
1,17429,measurement,
1,17429,battery,0.00
1,17429,charging,0
1,18030,measurement,
1,18030,battery,0.00
1,18030,charging,0
