dates,on,off,g_val,times,avg,delta,int_dates,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-09-07 10:00:00-04:00,,,,,,,,,,,,,22.11,,restock
2023-09-07 12:03:09-04:00,89.0,79.0,383.0,12:03:09,463.4166666666667,383.0,1066035603.0,510.0,,,,,,3.0,
2023-09-07 12:48:55-04:00,378.0,370.0,310.0,12:48:55,524.3571428571429,310.0,1066035648.0,568.4615384615385,,,,,,3.0,
2023-09-07 13:11:48-04:00,438.0,433.0,499.0,13:11:48,509.2142857142857,499.0,1066035671.0,552.1538461538462,22.766666666666666,1013.4166666666664,87.5,0.0,,3.0,
2023-09-07 13:34:41-04:00,478.0,437.0,505.0,13:34:41,512.3846153846154,505.0,1066035694.0,559.1666666666666,22.766666666666666,1013.4166666666664,87.5,0.0,,3.0,
2023-09-07 13:57:34-04:00,469.0,442.0,204.0,13:57:34,512.3846153846154,204.0,1066035717.0,559.1666666666666,22.766666666666666,1013.4166666666664,87.5,0.0,,3.0,
2023-09-07 14:20:27-04:00,383.0,367.0,575.0,14:20:27,512.1666666666666,575.0,1066035740.0,563.1818181818181,22.55,1013.8083333333334,88.16666666666669,0.25,,3.0,
2023-09-07 14:43:20-04:00,329.0,322.0,547.0,14:43:20,480.1818181818182,547.0,1066035763.0,533.1,22.55,1013.8083333333334,88.16666666666669,0.25,,3.0,
2023-09-07 15:06:13-04:00,369.0,352.0,541.0,15:06:13,489.9,541.0,1066035786.0,549.7777777777778,22.633333333333336,1014.2666666666668,88.91666666666669,51.33333333333334,,3.0,
2023-09-07 15:29:05-04:00,296.0,281.0,1239.0,15:29:05,549.7777777777778,1239.0,1066035809.0,549.7777777777778,22.633333333333336,1014.2666666666668,88.91666666666669,51.33333333333334,,3.0,
2023-09-07 15:51:57-04:00,308.0,279.0,528.0,15:51:57,579.75,528.0,1066035831.0,579.75,22.633333333333336,1014.2666666666668,88.91666666666669,51.33333333333334,,3.0,
2023-09-08 10:06:17-04:00,220.0,200.0,424.0,10:06:17,587.5,424.0,1066036926.0,587.5,24.65454545454545,1012.9,84.0,0.0,,3.0,
2023-09-08 10:29:07-04:00,244.0,231.0,303.0,10:29:07,587.5,303.0,1066036949.0,587.5,24.65454545454545,1012.9,84.0,0.0,,3.0,
2023-09-08 10:51:58-04:00,343.0,302.0,244.0,10:51:58,607.3333333333334,244.0,1066036971.0,607.3333333333334,24.65454545454545,1012.9,84.0,0.0,,3.0,
2023-09-08 11:15:07-04:00,312.0,301.0,651.0,11:15:07,618.4,651.0,1066036995.0,618.4,24.366666666666664,1012.7416666666667,84.75,0.3333333333333333,,3.0,
2023-09-08 11:37:59-04:00,325.0,320.0,1077.0,11:37:59,614.6363636363636,1077.0,1066037017.0,614.6363636363636,24.366666666666664,1012.7416666666667,84.75,0.3333333333333333,,3.0,
2023-09-08 12:00:51-04:00,379.0,362.0,766.0,12:00:51,612.0,766.0,1066037040.0,612.0,24.081818181818186,1012.5818181818179,85.0909090909091,0.8181818181818182,,3.0,
2023-09-08 12:23:44-04:00,442.0,414.0,811.0,12:23:44,609.2307692307693,811.0,1066037063.0,609.2307692307693,24.081818181818186,1012.5818181818179,85.0909090909091,0.8181818181818182,,3.0,
2023-09-08 12:46:37-04:00,412.0,398.0,424.0,12:46:37,629.2857142857143,424.0,1066037086.0,629.2857142857143,24.081818181818186,1012.5818181818179,85.0909090909091,0.8181818181818182,,3.0,
2023-09-08 13:32:55-04:00,545.0,494.0,766.0,13:32:55,660.3846153846154,766.0,1066037132.0,660.3846153846154,23.941666666666666,1012.9,85.83333333333333,0.9166666666666666,,3.0,
2023-09-08 13:55:48-04:00,50.0,38.0,718.0,13:55:48,695.0833333333334,718.0,1066037155.0,695.0833333333334,23.941666666666666,1012.9,85.83333333333333,0.9166666666666666,,3.0,
2023-09-08 14:18:38-04:00,88.0,60.0,577.0,14:18:38,699.0909090909091,577.0,1066037178.0,699.0909090909091,23.48333333333333,1013.6166666666667,87.66666666666669,1.25,,3.0,
2023-09-08 14:41:27-04:00,46.0,33.0,583.0,14:41:27,661.3,583.0,1066037201.0,661.3,23.48333333333333,1013.6166666666667,87.66666666666669,1.25,,3.0,
2023-09-08 15:04:15-04:00,51.0,30.0,576.0,15:04:15,649.6666666666666,576.0,1066037224.0,649.6666666666666,23.741666666666664,1013.9416666666666,87.83333333333331,48.66666666666666,,3.0,
2023-09-08 15:27:02-04:00,72.0,51.0,890.0,15:27:02,629.5,890.0,1066037247.0,629.5,23.741666666666664,1013.9416666666666,87.83333333333331,48.66666666666666,,3.0,
2023-09-08 15:49:48-04:00,103.0,90.0,502.0,15:49:48,658.8571428571429,502.0,1066037269.0,658.8571428571429,23.741666666666664,1013.9416666666666,87.83333333333331,48.66666666666666,,3.0,
2023-09-09 10:04:10-04:00,209.0,196.0,466.0,10:04:10,580.625,466.0,1066038364.0,580.625,22.3,1013.7,91.08333333333331,0.08333333333333333,,3.0,
2023-09-09 10:27:31-04:00,141.0,123.0,509.0,10:27:31,572.6666666666666,509.0,1066038387.0,572.6666666666666,22.3,1013.7,91.08333333333331,0.08333333333333333,,3.0,
2023-09-09 10:50:57-04:00,256.0,242.0,735.0,10:50:57,595.0,735.0,1066038410.0,595.0,22.3,1013.7,91.08333333333331,0.08333333333333333,,3.0,
2023-09-09 11:13:58-04:00,289.0,277.0,579.0,11:13:58,601.7272727272727,579.0,1066038433.0,601.7272727272727,22.375,1013.6416666666668,91.0,0.08333333333333333,,3.0,
2023-09-09 11:37:12-04:00,386.0,364.0,245.0,11:37:12,620.75,245.0,1066038457.0,620.75,22.375,1013.6416666666668,91.0,0.08333333333333333,,3.0,
2023-09-09 12:00:03-04:00,411.0,392.0,298.0,12:00:03,619.1538461538462,298.0,1066038480.0,619.1538461538462,22.48333333333333,1013.4083333333333,91.0,0.0,,3.0,
2023-09-09 12:22:54-04:00,441.0,413.0,814.0,12:22:54,622.3571428571429,814.0,1066038502.0,622.3571428571429,22.48333333333333,1013.4083333333333,91.0,0.0,,3.0,
2023-09-09 12:45:46-04:00,434.0,407.0,999.0,12:45:46,615.7333333333333,999.0,1066038525.0,615.7333333333333,22.48333333333333,1013.4083333333333,91.0,0.0,,3.0,
2023-09-09 13:08:38-04:00,491.0,478.0,509.0,13:08:38,617.9333333333333,509.0,1066038548.0,617.9333333333333,22.45833333333333,1013.6333333333333,91.0,0.0,,3.0,
2023-09-09 13:31:30-04:00,497.0,469.0,796.0,13:31:30,625.7142857142857,796.0,1066038571.0,625.7142857142857,22.45833333333333,1013.6333333333333,91.0,0.0,,3.0,
2023-09-09 13:54:22-04:00,525.0,490.0,669.0,13:54:22,617.3076923076923,669.0,1066038594.0,617.3076923076923,22.45833333333333,1013.6333333333333,91.0,0.0,,3.0,
2023-09-09 14:17:21-04:00,180.0,171.0,830.0,14:17:21,620.5,830.0,1066038617.0,620.5,22.509090909090904,1013.9363636363637,91.0,0.3636363636363637,,3.0,
2023-09-09 14:40:04-04:00,476.0,450.0,600.0,14:40:04,654.6363636363636,600.0,1066038640.0,654.6363636363636,22.509090909090904,1013.9363636363637,91.0,0.3636363636363637,,3.0,
2023-09-09 15:02:56-04:00,145.0,127.0,664.0,15:02:56,690.3,664.0,1066038662.0,690.3,23.141666666666666,1014.2416666666667,91.0,35.416666666666664,,3.0,
2023-09-09 15:25:47-04:00,115.0,99.0,523.0,15:25:47,676.5555555555555,523.0,1066038685.0,676.5555555555555,23.141666666666666,1014.2416666666667,91.0,35.416666666666664,,3.0,
2023-09-09 15:48:38-04:00,96.0,77.0,499.0,15:48:38,636.25,499.0,1066038708.0,636.25,23.141666666666666,1014.2416666666667,91.0,35.416666666666664,,3.0,
2023-09-10 10:03:58-04:00,260.0,246.0,544.0,10:03:58,663.75,544.0,1066039803.0,663.75,24.60833333333333,1014.7333333333332,89.25,0.25,,3.0,
2023-09-10 10:26:49-04:00,294.0,284.0,807.0,10:26:49,635.8888888888889,807.0,1066039826.0,635.8888888888889,24.60833333333333,1014.7333333333332,89.25,0.25,,3.0,
2023-09-10 10:49:40-04:00,370.0,348.0,774.0,10:49:40,646.3,774.0,1066039849.0,646.3,24.60833333333333,1014.7333333333332,89.25,0.25,,3.0,
2023-09-10 11:12:32-04:00,354.0,339.0,605.0,11:12:32,683.5454545454545,605.0,1066039872.0,683.5454545454545,24.46666666666667,1014.65,89.66666666666669,0.0,,3.0,
2023-09-10 11:35:33-04:00,420.0,399.0,569.0,11:35:33,721.0,569.0,1066039895.0,721.0,24.46666666666667,1014.65,89.66666666666669,0.0,,3.0,
2023-09-10 11:58:26-04:00,182.0,168.0,360.0,11:58:26,702.2307692307693,360.0,1066039918.0,702.2307692307693,24.46666666666667,1014.65,89.66666666666669,0.0,,3.0,
2023-09-10 12:21:18-04:00,308.0,279.0,573.0,12:21:18,699.4285714285714,573.0,1066039941.0,699.4285714285714,24.45,1014.6166666666667,90.0,0.0,,3.0,
2023-09-10 12:44:10-04:00,493.0,466.0,1078.0,12:44:10,690.3333333333334,1078.0,1066039964.0,690.3333333333334,24.45,1014.6166666666667,90.0,0.0,,3.0,
