dates,on,off,g_val,times,avg,delta,int_dates,distance,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-09-07 10:00:00-04:00,,,,,,,,,,,,,,22.11,,restock
2023-09-07 22:19:44-04:00,9.0,0.0,393.0,22:19:44,504.57142857142856,393.0,1066036219.0,137.25830078125,504.57142857142856,32.583333333333336,1013.7083333333336,64.0,896.5,,3.0,
2023-09-07 22:42:54-04:00,22.0,0.0,709.0,22:42:54,493.125,709.0,1066036242.0,177.130859375,493.125,32.583333333333336,1013.7083333333336,64.0,896.5,,3.0,
2023-09-07 23:05:40-04:00,15.0,0.0,532.0,23:05:40,500.44444444444446,532.0,1066036265.0,1.4755859375,500.44444444444446,31.85833333333333,1013.2083333333336,66.25,778.0833333333335,,3.0,
2023-09-07 23:28:26-04:00,19.0,0.0,466.0,23:28:26,493.6,466.0,1066036288.0,69.0771484375,493.6,31.85833333333333,1013.2083333333336,66.25,778.0833333333335,,3.0,
2023-09-07 23:51:12-04:00,12.0,0.0,554.0,23:51:12,481.8181818181818,554.0,1066036311.0,17.32470703125,481.8181818181818,31.85833333333333,1013.2083333333336,66.25,778.0833333333335,,3.0,
2023-09-08 00:14:07-04:00,19.0,0.0,476.0,00:14:07,474.9166666666667,476.0,1066036334.0,62.2685546875,474.9166666666667,31.23333333333333,1012.6166666666667,68.33333333333333,603.9166666666666,,3.0,
2023-09-08 00:37:01-04:00,16.0,0.0,402.0,00:37:01,464.84615384615387,402.0,1066036357.0,137.85791015625,464.84615384615387,31.23333333333333,1012.6166666666667,68.33333333333333,603.9166666666666,,3.0,
2023-09-08 01:23:01-04:00,13.0,0.0,413.0,01:23:01,470.0769230769231,413.0,1066036403.0,130.02294921875,470.0769230769231,31.025,1012.3333333333336,68.5,394.16666666666674,,3.0,
2023-09-08 01:45:47-04:00,12.0,0.0,559.0,01:45:47,450.1666666666667,559.0,1066036425.0,14.46923828125,450.1666666666667,31.025,1012.3333333333336,68.5,394.16666666666674,,3.0,
2023-09-08 02:08:32-04:00,12.0,0.0,432.0,02:08:32,442.72727272727275,432.0,1066036448.0,114.1025390625,442.72727272727275,30.425,1012.2666666666664,69.08333333333333,162.08333333333334,,3.0,
2023-09-08 02:31:17-04:00,15.0,0.0,364.0,02:31:17,440.4,364.0,1066036471.0,183.67041015625,440.4,30.425,1012.2666666666664,69.08333333333333,162.08333333333334,,3.0,
2023-09-08 02:54:03-04:00,12.0,0.0,399.0,02:54:03,427.77777777777777,399.0,1066036494.0,150.2333984375,427.77777777777777,30.425,1012.2666666666664,69.08333333333333,162.08333333333334,,3.0,
2023-09-08 03:16:48-04:00,11.0,0.0,344.0,03:16:48,421.75,344.0,1066036516.0,206.724609375,421.75,29.23333333333333,1012.2833333333333,71.58333333333333,13.416666666666664,,3.0,
2023-09-08 03:39:33-04:00,16.0,0.0,461.0,03:39:33,424.57142857142856,461.0,1066036539.0,91.27978515625,424.57142857142856,29.23333333333333,1012.2833333333333,71.58333333333333,13.416666666666664,,3.0,
2023-09-08 22:17:39-04:00,24.0,0.0,514.0,22:17:39,537.875,514.0,1066037657.0,108.62646484375,537.875,28.875,1013.1833333333334,76.08333333333333,122.58333333333331,,3.0,
2023-09-08 22:40:23-04:00,17.0,0.0,919.0,22:40:23,545.3333333333334,919.0,1066037680.0,295.0341796875,545.3333333333334,28.875,1013.1833333333334,76.08333333333333,122.58333333333331,,3.0,
2023-09-08 23:03:07-04:00,31.0,0.0,499.0,23:03:07,547.2,499.0,1066037703.0,126.30126953125,547.2,25.475,1013.65,83.25,128.16666666666666,,3.0,
2023-09-08 23:25:51-04:00,22.0,0.0,556.0,23:25:51,545.0,556.0,1066037725.0,70.57470703125,545.0,25.475,1013.65,83.25,128.16666666666666,,3.0,
2023-09-08 23:48:36-04:00,20.0,0.0,522.0,23:48:36,532.1666666666666,522.0,1066037748.0,105.90185546875,532.1666666666666,25.475,1013.65,83.25,128.16666666666666,,3.0,
2023-09-09 00:11:20-04:00,7.0,0.0,441.0,00:11:20,530.0,441.0,1066037771.0,188.2236328125,530.0,23.741666666666664,1013.35,81.66666666666667,101.0,,3.0,
2023-09-09 00:34:04-04:00,14.0,0.0,436.0,00:34:04,516.6428571428571,436.0,1066037794.0,194.5419921875,516.6428571428571,23.741666666666664,1013.35,81.66666666666667,101.0,,3.0,
2023-09-09 00:56:48-04:00,10.0,0.0,416.0,00:56:48,510.2,416.0,1066037816.0,215.798828125,510.2,23.741666666666664,1013.35,81.66666666666667,101.0,,3.0,
2023-09-09 01:19:32-04:00,22.0,0.0,605.0,01:19:32,510.46666666666664,605.0,1066037839.0,28.10888671875,510.46666666666664,22.79166666666667,1014.3166666666666,85.83333333333333,43.08333333333334,,3.0,
2023-09-09 01:42:15-04:00,19.0,0.0,564.0,01:42:15,481.2857142857143,564.0,1066037862.0,70.4140625,481.2857142857143,22.79166666666667,1014.3166666666666,85.83333333333333,43.08333333333334,,3.0,
2023-09-09 02:04:59-04:00,11.0,0.0,523.0,02:04:59,479.9230769230769,523.0,1066037884.0,112.65869140625,479.9230769230769,22.075,1014.8416666666667,89.08333333333331,15.333333333333336,,3.0,
2023-09-09 02:27:43-04:00,22.0,0.0,391.0,02:27:43,473.5833333333333,391.0,1066037907.0,245.955078125,473.5833333333333,22.075,1014.8416666666667,89.08333333333331,15.333333333333336,,3.0,
