dates,on,off,g_val,times,avg,delta,int_dates,distance,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-11-30 10:00:00-05:00,,,,,,,,,,,,,,22.11,,restock
2023-12-07 10:00:00-05:00,,,,,,,,,,,,,,-19.0,,harvest
2023-12-14 10:00:00-05:00,,,,,,,,,,,,,,-23.2,,harvest
2023-12-21 10:00:00-05:00,,,,,,,,,,,,,,-32.5,,harvest
2024-01-04 10:00:00-05:00,,,,,,,,,,,,,,-18.6,,harvest
2024-01-11 10:00:00-05:00,,,,,,,,,,,,,,-14.6,,harvest
2024-01-18 10:00:00-05:00,,,,,,,,,,,,,,-26.43,,empty
