dates,on,off,g_val,times,avg,delta,int_dates,distance,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-04-20 10:00:00-04:00,,,,,,,,,,,,,,22.11,,restock
2023-04-27 10:00:00-04:00,,,,,,,,,,,,,,-25.3,,harvest
2023-05-04 10:00:00-04:00,,,,,,,,,,,,,,-24.3,,harvest
2023-05-11 10:00:00-04:00,,,,,,,,,,,,,,-43.6,,harvest
2023-05-12 10:13:30-04:00,221.0,159.0,3676.0,10:13:30,43683.294117647056,3676.0,1065865573.0,193.25,3469.0,25.7,1018.125,77.33333333333333,0.0,,1.0,
2023-05-12 12:20:17-04:00,497.0,345.0,3262.0,12:20:17,47582.392857142855,3262.0,1065865700.0,59.8125,3469.0,25.441666666666666,1017.9083333333333,77.58333333333333,0.0,,1.0,
2023-05-13 10:35:28-04:00,742.0,613.0,926.0,10:35:28,45372.47368421053,926.0,1065867035.0,121.53125,986.0,25.225,1018.65,75.5,0.0,,1.0,
2023-05-13 10:46:59-04:00,769.0,784.0,1046.0,10:46:59,46357.65,1046.0,1065867046.0,10.1875,986.0,25.225,1018.65,75.5,0.0,,1.0,
2023-05-14 13:39:09-04:00,769.0,769.0,327.0,13:39:09,58219.892857142855,327.0,1065868659.0,56.03125,327.0,23.93333333333333,1018.225,75.75,0.6666666666666666,,1.0,
2023-05-15 10:22:34-04:00,767.0,622.0,1411.0,10:22:34,35858.58823529412,1411.0,1065869902.0,85.5625,1503.0,25.008333333333336,1018.6166666666667,75.83333333333333,0.4166666666666667,,1.0,
2023-05-15 13:04:06-04:00,768.0,778.0,1543.0,13:04:06,45029.22580645161,1543.0,1065870064.0,2.0625,1503.0,21.79166666666667,1018.3833333333333,84.58333333333333,0.08333333333333333,,1.0,
2023-05-15 13:15:45-04:00,768.0,750.0,1555.0,13:15:45,44364.066666666666,1555.0,1065870075.0,1.34375,1503.0,21.79166666666667,1018.3833333333333,84.58333333333333,0.08333333333333333,,1.0,
2023-05-17 11:21:24-04:00,695.0,439.0,8782.0,11:21:24,42741.434782608696,8782.0,1065872841.0,223.875,8782.0,23.275,1011.8583333333332,84.33333333333333,0.4166666666666667,,1.0,
2023-05-17 14:38:00-04:00,322.0,195.0,9359.0,14:38:00,38191.52173913043,9359.0,1065873038.0,64.53125,9369.5,22.883333333333336,1011.8916666666664,85.41666666666667,10.75,,1.0,
2023-05-17 15:35:47-04:00,408.0,215.0,9380.0,15:35:47,33826.61111111111,9380.0,1065873095.0,133.4375,9369.5,23.225,1012.3416666666667,85.41666666666667,124.66666666666669,,1.0,
2023-05-18 10:00:00-04:00,,,,,,,,,,,,,,-27.4,,harvest
2023-05-24 10:00:00-04:00,,,,,,,,,,,,,,-25.8,,harvest
2023-06-01 10:00:00-04:00,,,,,,,,,,,,,,-51.2,,empty
