dates,on,off,g_val,times,avg,delta,int_dates,distance,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-06-15 10:00:00-04:00,,,,,,,,,,,,,,22.11,,restock
2023-06-22 10:00:00-04:00,,,,,,,,,,,,,,-26.6,,harvest
2023-06-29 10:00:00-04:00,,,,,,,,,,,,,,-18.5,,harvest
2023-07-06 10:00:00-04:00,,,,,,,,,,,,,,-11.0,,harvest
2023-07-13 10:00:00-04:00,,,,,,,,,,,,,,-16.5,,harvest
2023-07-20 10:00:00-04:00,,,,,,,,,,,,,,-12.0,,harvest
2023-07-27 10:00:00-04:00,,,,,,,,,,,,,,-45.01,,empty
