Date,ID,Before,After
2023-02-03T12:00:00,3,39.71,22.11
2023-02-09T12:00:00,3,36.9,22.11
2023-02-16T12:00:00,3,46.3,22.11
2023-02-22T12:00:00,3,43.01,22.11
2023-03-02T12:00:00,3,44.4,22.11
2023-03-09T12:00:00,6,52.1,22.11
