dates,on,off,g_val,times,avg,delta,int_dates,distance,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-09-21 10:00:00-04:00,,,,,,,,,,,,,,22.11,,restock
2023-09-28 10:00:00-04:00,,,,,,,,,,,,,,-25.1,,harvest
2023-10-05 10:00:00-04:00,,,,,,,,,,,,,,-22.6,,harvest
2023-10-12 10:00:00-04:00,,,,,,,,,,,,,,-20.3,,harvest
2023-10-19 10:00:00-04:00,,,,,,,,,,,,,,-20.3,,harvest
2023-10-26 10:00:00-04:00,,,,,,,,,,,,,,-36.3,,harvest
2023-11-02 10:00:00-04:00,,,,,,,,,,,,,,-46.71,,empty
