dates,on,off,g_val,times,avg,delta,int_dates,distance,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-10-26 10:00:00-04:00,,,,,,,,,,,,,,22.11,,restock
2023-11-02 10:00:00-04:00,,,,,,,,,,,,,,-15.1,,harvest
2023-11-09 10:00:00-05:00,,,,,,,,,,,,,,-15.5,,harvest
2023-11-16 10:00:00-05:00,,,,,,,,,,,,,,-10.3,,harvest
2023-11-30 10:00:00-05:00,,,,,,,,,,,,,,-21.2,,harvest
2023-12-07 10:00:00-05:00,,,,,,,,,,,,,,-13.6,,harvest
2023-12-14 10:00:00-05:00,,,,,,,,,,,,,,-71.3,,empty
