dates,on,off,g_val,times,avg,delta,int_dates,distance,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-10-19 10:00:00-04:00,,,,,,,,,,,,,,22.11,,restock
2023-10-26 10:00:00-04:00,,,,,,,,,,,,,,-36.7,,harvest
2023-11-02 10:00:00-04:00,,,,,,,,,,,,,,-22.7,,harvest
2023-11-09 10:00:00-05:00,,,,,,,,,,,,,,-23.9,,harvest
2023-11-16 10:00:00-05:00,,,,,,,,,,,,,,-25.5,,harvest
2023-11-30 10:00:00-05:00,,,,,,,,,,,,,,-25.8,,harvest
2023-12-07 10:00:00-05:00,,,,,,,,,,,,,,-68.5,,empty
