dates,on,off,g_val,times,avg,delta,int_dates,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-11-16 10:00:00-05:00,,,,,,,,,,,,,22.11,,restock
2023-11-16 22:18:45-05:00,18.0,0.0,629.0,22:18:45,680.25,629.0,1066137018.0,680.25,24.375,1012.4583333333336,78.5,356.25,,5.0,
2023-11-16 22:41:29-05:00,20.0,0.0,856.0,22:41:29,678.6666666666666,856.0,1066137041.0,678.6666666666666,24.375,1012.4583333333336,78.5,356.25,,5.0,
2023-11-16 23:04:12-05:00,17.0,0.0,807.0,23:04:12,665.1,807.0,1066137064.0,665.1,24.25,1011.575,79.33333333333333,157.25,,5.0,
2023-11-16 23:26:56-05:00,29.0,0.0,631.0,23:26:56,673.3636363636364,631.0,1066137086.0,673.3636363636364,24.25,1011.575,79.33333333333333,157.25,,5.0,
2023-11-16 23:49:39-05:00,14.0,0.0,590.0,23:49:39,665.0,590.0,1066137109.0,665.0,24.25,1011.575,79.33333333333333,157.25,,5.0,
2023-11-17 00:12:23-05:00,26.0,0.0,540.0,00:12:23,652.5384615384615,540.0,1066137132.0,652.5384615384615,25.08333333333333,1011.0916666666667,76.5,216.91666666666663,,5.0,
2023-11-17 00:35:06-05:00,20.0,0.0,764.0,00:35:06,652.2857142857143,764.0,1066137155.0,652.2857142857143,25.08333333333333,1011.0916666666667,76.5,216.91666666666663,,5.0,
2023-11-17 00:57:50-05:00,20.0,0.0,625.0,00:57:50,642.0666666666667,625.0,1066137177.0,642.0666666666667,25.08333333333333,1011.0916666666667,76.5,216.91666666666663,,5.0,
2023-11-17 01:20:33-05:00,17.0,0.0,666.0,01:20:33,643.0,666.0,1066137200.0,643.0,24.883333333333336,1010.65,77.66666666666667,76.41666666666667,,5.0,
2023-11-17 01:43:16-05:00,18.0,0.0,543.0,01:43:16,626.6153846153846,543.0,1066137223.0,626.6153846153846,24.883333333333336,1010.65,77.66666666666667,76.41666666666667,,5.0,
2023-11-17 02:05:59-05:00,15.0,0.0,756.0,02:05:59,611.5833333333334,756.0,1066137245.0,611.5833333333334,24.383333333333336,1010.0916666666667,80.66666666666667,44.33333333333334,,5.0,
2023-11-17 02:28:42-05:00,11.0,0.0,573.0,02:28:42,609.8181818181819,573.0,1066137268.0,609.8181818181819,24.383333333333336,1010.0916666666667,80.66666666666667,44.33333333333334,,5.0,
2023-11-17 02:51:25-05:00,21.0,0.0,503.0,02:51:25,611.8,503.0,1066137291.0,611.8,24.383333333333336,1010.0916666666667,80.66666666666667,44.33333333333334,,5.0,
2023-11-17 03:14:31-05:00,16.0,0.0,649.0,03:14:31,619.7777777777778,649.0,1066137314.0,619.7777777777778,24.60833333333333,1009.7333333333332,80.75,14.75,,5.0,
2023-11-17 03:37:21-05:00,22.0,0.0,499.0,03:37:21,601.75,499.0,1066137337.0,601.75,24.60833333333333,1009.7333333333332,80.75,14.75,,5.0,
2023-11-17 22:13:50-05:00,24.0,0.0,636.0,22:13:50,695.1428571428571,636.0,1066138453.0,695.1428571428571,25.891666666666666,1007.325,76.5,327.9166666666667,,5.0,
2023-11-17 22:36:33-05:00,41.0,0.0,755.0,22:36:33,688.125,755.0,1066138476.0,688.125,25.891666666666666,1007.325,76.5,327.9166666666667,,5.0,
2023-11-17 22:59:17-05:00,32.0,0.0,672.0,22:59:17,677.4444444444445,672.0,1066138499.0,677.4444444444445,25.891666666666666,1007.325,76.5,327.9166666666667,,5.0,
2023-11-17 23:22:00-05:00,19.0,0.0,620.0,23:22:00,677.1,620.0,1066138522.0,677.1,27.175,1006.6166666666667,72.25,448.0,,5.0,
2023-11-17 23:44:43-05:00,21.0,0.0,808.0,23:44:43,681.1818181818181,808.0,1066138544.0,681.1818181818181,27.175,1006.6166666666667,72.25,448.0,,5.0,
2023-11-18 00:07:55-05:00,27.0,0.0,683.0,00:07:55,676.75,683.0,1066138567.0,676.75,27.60833333333333,1006.2416666666667,70.91666666666667,443.33333333333326,,5.0,
2023-11-18 00:53:51-05:00,23.0,0.0,692.0,00:53:51,685.1428571428571,692.0,1066138613.0,685.1428571428571,27.60833333333333,1006.2416666666667,70.91666666666667,443.33333333333326,,5.0,
2023-11-18 01:16:34-05:00,21.0,0.0,639.0,01:16:34,697.2857142857143,639.0,1066138636.0,697.2857142857143,28.09166666666667,1006.225,68.66666666666667,398.08333333333326,,5.0,
2023-11-18 01:39:18-05:00,18.0,0.0,592.0,01:39:18,692.8461538461538,592.0,1066138659.0,692.8461538461538,28.09166666666667,1006.225,68.66666666666667,398.08333333333326,,5.0,
2023-11-18 02:02:01-05:00,21.0,0.0,674.0,02:02:01,694.5833333333334,674.0,1066138682.0,694.5833333333334,27.09166666666667,1006.4583333333336,70.58333333333333,139.16666666666666,,5.0,
2023-11-18 02:24:44-05:00,43.0,0.0,722.0,02:24:44,701.3636363636364,722.0,1066138704.0,701.3636363636364,27.09166666666667,1006.4583333333336,70.58333333333333,139.16666666666666,,5.0,
2023-11-18 02:47:28-05:00,22.0,0.0,628.0,02:47:28,690.7,628.0,1066138727.0,690.7,27.09166666666667,1006.4583333333336,70.58333333333333,139.16666666666666,,5.0,
2023-11-18 03:10:11-05:00,20.0,0.0,737.0,03:10:11,691.5555555555555,737.0,1066138750.0,691.5555555555555,25.258333333333336,1006.6166666666667,78.5,8.416666666666666,,5.0,
2023-11-18 03:32:55-05:00,20.0,0.0,734.0,03:32:55,691.5555555555555,734.0,1066138772.0,691.5555555555555,25.258333333333336,1006.6166666666667,78.5,8.416666666666666,,5.0,
2023-11-18 03:55:38-05:00,50.0,0.0,806.0,03:55:38,691.5,806.0,1066138795.0,691.5,25.258333333333336,1006.6166666666667,78.5,8.416666666666666,,5.0,
2023-11-18 22:08:24-05:00,33.0,0.0,902.0,22:08:24,823.375,902.0,1066139888.0,823.375,22.78333333333333,1007.675,78.0,186.25,,5.0,
2023-11-18 22:31:06-05:00,37.0,0.0,874.0,22:31:06,813.6666666666666,874.0,1066139911.0,813.6666666666666,22.78333333333333,1007.675,78.0,186.25,,5.0,
2023-11-18 22:53:48-05:00,18.0,0.0,947.0,22:53:48,800.5,947.0,1066139933.0,800.5,22.78333333333333,1007.675,78.0,186.25,,5.0,
2023-11-18 23:16:30-05:00,25.0,0.0,709.0,23:16:30,812.0909090909091,709.0,1066139956.0,812.0909090909091,24.2,1007.125,72.75,444.16666666666674,,5.0,
2023-11-18 23:39:13-05:00,26.0,0.0,738.0,23:39:13,815.25,738.0,1066139979.0,815.25,24.2,1007.125,72.75,444.16666666666674,,5.0,
2023-11-19 00:02:27-05:00,30.0,0.0,779.0,00:02:27,809.2307692307693,779.0,1066140002.0,809.2307692307693,24.45833333333333,1006.725,72.41666666666667,191.91666666666663,,5.0,
2023-11-19 00:25:09-05:00,19.0,0.0,795.0,00:25:09,810.4285714285714,795.0,1066140025.0,810.4285714285714,24.45833333333333,1006.725,72.41666666666667,191.91666666666663,,5.0,
2023-11-19 00:47:51-05:00,27.0,0.0,843.0,00:47:51,805.5333333333333,843.0,1066140047.0,805.5333333333333,24.45833333333333,1006.725,72.41666666666667,191.91666666666663,,5.0,
