dates,on,off,g_val,times,avg,delta,int_dates,distance,avg_clean,Temp,Pressure,Humidity,Solar_radiation,harvest,tank,status_harvest
2023-03-30 10:00:00-04:00,,,,,,,,,,,,,,22.11,,restock
2023-04-06 10:00:00-04:00,,,,,,,,,,,,,,-21.1,,harvest
2023-04-13 10:00:00-04:00,,,,,,,,,,,,,,-30.2,,harvest
2023-04-20 10:00:00-04:00,,,,,,,,,,,,,,-24.2,,harvest
2023-04-27 10:00:00-04:00,,,,,,,,,,,,,,-29.3,,harvest
2023-05-04 10:00:00-04:00,,,,,,,,,,,,,,-23.6,,harvest
2023-05-11 10:00:00-04:00,,,,,,,,,,,,,,-49.81,,empty
