day,sec,event,value
1,3604,battery,4.03
1,3604,charging,1
1,4505,measurement,
1,4505,battery,4.03
1,4505,charging,1
1,5406,measurement,
1,5406,battery,4.03
1,5406,charging,1
1,6307,measurement,
1,6307,battery,4.03
1,6307,charging,1
1,7208,measurement,
1,7208,battery,4.03
1,7208,charging,1
1,8109,measurement,
1,8109,battery,4.03
1,8109,charging,1
1,9010,measurement,
1,9010,battery,4.02
1,9010,charging,1
1,9911,measurement,
1,9911,battery,4.02
1,9911,charging,1
1,10812,measurement,
1,10812,battery,4.02
1,10812,charging,1
1,11713,measurement,
1,11713,battery,4.02
1,11713,charging,1
1,12614,measurement,
1,12614,battery,4.02
1,12614,charging,1
1,13515,measurement,
1,13515,battery,4.02
1,13515,charging,1
1,14416,measurement,
1,14416,battery,4.01
1,14416,charging,1
1,15317,measurement,
1,15317,battery,4.01
1,15317,charging,1
1,16218,measurement,
1,16218,battery,4.01
1,16218,charging,1
1,17119,measurement,
1,17119,battery,4.01
1,17119,charging,1
1,18020,measurement,
1,18020,battery,4.01
1,18020,charging,1
1,18921,measurement,
1,18921,battery,4.00
1,18921,charging,0
1,19822,measurement,
1,19822,battery,4.00
1,19822,charging,1
1,20723,measurement,
1,20723,battery,4.00
1,20723,charging,0
1,21624,measurement,
1,21624,battery,4.00
1,21624,charging,0
1,22525,measurement,
1,22525,battery,4.00
1,22525,charging,0
1,23426,measurement,
1,23426,battery,4.00
1,23426,charging,0
1,24327,measurement,
1,24327,battery,3.99
1,24327,charging,0
1,25228,measurement,
1,25228,battery,3.99
1,25228,charging,0
1,26129,measurement,
1,26129,battery,3.99
1,26129,charging,0
1,27030,measurement,
1,27030,battery,3.99
1,27030,charging,0
1,27931,measurement,
1,27931,battery,3.99
1,27931,charging,0
1,28832,measurement,
1,28832,battery,3.98
1,28832,charging,0
1,29733,measurement,
1,29733,battery,3.98
1,29733,charging,0
1,30634,measurement,
1,30634,battery,3.98
1,30634,charging,0
1,31535,measurement,
1,31535,battery,3.98
1,31535,charging,0
1,32436,measurement,
1,32436,battery,3.98
1,32436,charging,0
1,33337,measurement,
1,33337,battery,3.98
1,33337,charging,0
1,34238,measurement,
1,34238,battery,3.97
1,34238,charging,0
1,35139,measurement,
1,35139,battery,3.97
1,35139,charging,0
1,36040,measurement,
1,36040,battery,3.97
1,36040,charging,0
1,36941,measurement,
1,36941,battery,3.97
1,36941,charging,0
1,37842,measurement,
1,37842,battery,3.97
1,37842,charging,0
1,38743,measurement,
1,38743,battery,3.96
1,38743,charging,0
1,39644,measurement,
1,39644,battery,3.96
1,39644,charging,0
1,40545,measurement,
1,40545,battery,3.96
1,40545,charging,0
1,41446,measurement,
1,41446,battery,3.96
1,41446,charging,0
1,42347,measurement,
1,42347,battery,3.96
1,42347,charging,0
1,43248,measurement,
1,43248,battery,3.95
1,43248,charging,0
1,44149,measurement,
1,44149,battery,3.95
1,44149,charging,0
1,45050,measurement,
1,45050,battery,3.95
1,45050,charging,0
1,45951,measurement,
1,45951,battery,3.95
1,45951,charging,0
1,46852,measurement,
1,46852,battery,3.95
1,46852,charging,0
1,47753,measurement,
1,47753,battery,3.95
1,47753,charging,0
1,48654,measurement,
1,48654,battery,3.94
1,48654,charging,0
1,49555,measurement,
1,49555,battery,3.94
1,49555,charging,0
1,50456,measurement,
1,50456,battery,3.94
1,50456,charging,0
1,51357,measurement,
1,51357,battery,3.94
1,51357,charging,0
1,52258,measurement,
1,52258,battery,3.94
1,52258,charging,0
1,53159,measurement,
1,53159,battery,3.93
1,53159,charging,0
1,54060,measurement,
1,54060,battery,3.93
1,54060,charging,0
1,54961,measurement,
1,54961,battery,3.93
1,54961,charging,0
1,55862,measurement,
1,55862,battery,3.93
1,55862,charging,0
1,56763,measurement,
1,56763,battery,3.92
1,56763,charging,0
1,57664,measurement,
1,57664,battery,3.93
1,57664,charging,0
1,58565,measurement,
1,58565,battery,3.92
1,58565,charging,0
1,59466,measurement,
1,59466,battery,3.92
1,59466,charging,0
1,60367,measurement,
1,60367,battery,3.92
1,60367,charging,0
1,61268,measurement,
1,61268,battery,3.92
1,61268,charging,0
1,62169,measurement,
1,62169,battery,3.92
1,62169,charging,0
1,63070,measurement,
1,63070,battery,3.92
1,63070,charging,0
1,63971,measurement,
1,63971,battery,3.91
1,63971,charging,0
1,64872,measurement,
1,64872,battery,3.91
1,64872,charging,0
1,65773,measurement,
1,65773,battery,3.91
1,65773,charging,0
1,66674,measurement,
1,66674,battery,3.91
1,66674,charging,1
1,67575,measurement,
1,67575,battery,3.91
1,67575,charging,1
1,68476,measurement,
1,68476,battery,3.91
1,68476,charging,1
1,69377,measurement,
1,69377,battery,3.90
1,69377,charging,1
1,70278,measurement,
1,70278,battery,3.91
1,70278,charging,1
1,71179,measurement,
1,71179,battery,3.91
1,71179,charging,1
1,72080,measurement,
1,72080,battery,3.91
1,72080,charging,1
1,72981,measurement,
1,72981,battery,3.91
1,72981,charging,1
1,73882,measurement,
1,73882,battery,3.91
1,73882,charging,1
1,74783,measurement,
1,74783,battery,3.91
1,74783,charging,1
1,75684,measurement,
1,75684,battery,3.91
1,75684,charging,1
1,76585,measurement,
1,76585,battery,3.91
1,76585,charging,1
1,77486,measurement,
1,77486,battery,3.91
1,77486,charging,1
1,78387,measurement,
1,78387,battery,3.91
1,78387,charging,1
1,79288,measurement,
1,79288,battery,3.91
1,79288,charging,1
1,80189,measurement,
1,80189,battery,3.91
1,80189,charging,0
1,81090,measurement,
1,81090,battery,3.91
1,81090,charging,1
1,81991,measurement,
1,81991,battery,3.91
1,81991,charging,0
1,82892,measurement,
1,82892,battery,3.91
1,82892,charging,1
1,83793,measurement,
1,83793,battery,3.91
1,83793,charging,1
1,84694,measurement,
1,84694,battery,3.91
1,84694,charging,1
1,85595,measurement,
1,85595,battery,3.92
1,85595,charging,1
2,0,measurement,
2,0,battery,3.92
2,0,charging,1
2,901,measurement,
2,901,battery,3.92
2,901,charging,1
2,1802,measurement,
2,1802,battery,3.91
2,1802,charging,1
2,2703,measurement,
2,2703,battery,3.92
2,2703,charging,1
